ticker,name,sector,n_detectors,trend,rev_growth_TTM_%,net_margin_%,CFO_TTM,FCF_TTM,TEV/Sales_26E,TEV/EBITDA_26E_est,TEV/FCF_26E_est,PE_26E,TEV/Sales_TTM,PE_TTM,L1M_%,L3M_%,L12M_%
SWKS,"Skyworks Solutions, Inc.",Technology,3,up,-1.0,8.9,960000000.0,687837504.0,2.7,12.0,15.8,15.6,2.7,33.4,16.7,11.7,-1.0
DGX,Quest Diagnostics Incorporated,Healthcare,3,weak,9.2,9.1,1850000000.0,947875008.0,2.3,11.4,26.8,16.9,2.5,21.8,-2.5,-9.4,10.1
BAX,Baxter International Inc.,Healthcare,2,down,2.9,-9.7,1251000064.0,900875008.0,1.5,8.9,18.9,9.6,1.5,,-4.6,-12.5,-42.2
BBY,"Best Buy Co., Inc.",Consumer Cyclical,2,down,-1.0,2.6,1962000000.0,842499968.0,0.4,5.7,17.6,8.8,0.4,12.3,-13.0,-13.2,-19.0
COR,"Cencora, Inc.",Healthcare,2,down,3.8,0.8,2276133888.0,-318246112.0,0.2,11.2,,13.9,0.2,21.1,-19.9,-28.4,-6.8
EL,"Estee Lauder Companies, Inc. (T",Consumer Defensive,2,down,4.6,-1.7,1798000000.0,1807624960.0,2.2,14.1,18.3,27.2,2.3,,6.6,-25.6,27.2
MMM,3M Company,Industrials,2,down,1.3,11.1,2959000064.0,2322374912.0,3.3,13.4,35.9,16.2,3.5,29.6,-2.9,-14.9,0.7
AMD,"Advanced Micro Devices, Inc.",Technology,2,up,37.8,13.4,9724999680.0,7173374976.0,9.5,48.1,49.8,36.1,19.3,155.5,52.4,104.6,260.3
ANET,"Arista Networks, Inc.",Technology,2,up,35.1,38.3,5423699968.0,4362237440.0,12.2,28.0,27.2,34.6,18.0,52.9,-11.8,0.3,44.5
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,2,up,2.7,-4.2,1288000000.0,752625024.0,2.6,8.4,39.2,33.6,2.7,,0.4,53.3,-9.4
GNRC,Generac Holdlings Inc.,Industrials,2,up,12.4,4.4,499111008.0,115297624.0,2.8,23.1,105.6,24.1,3.6,83.1,27.1,17.5,105.2
KIM,Kimco Realty Corporation (HC),Real Estate,2,up,4.0,28.5,1139187968.0,838712128.0,10.8,17.8,27.8,28.1,11.3,27.7,-3.2,2.4,14.3
PLD,"Prologis, Inc.",Real Estate,2,up,8.3,39.6,5135817216.0,4854310400.0,18.8,26.9,36.4,42.8,18.5,36.5,-1.2,1.9,35.1
ABBV,AbbVie Inc.,Healthcare,2,weak,12.4,5.8,21223999488.0,20811624448.0,6.1,12.8,18.4,13.4,7.0,106.5,0.7,-8.4,22.4
CL,Colgate-Palmolive Company,Consumer Defensive,2,weak,8.4,10.0,4344999936.0,3319500032.0,3.6,15.1,22.4,22.5,3.8,35.3,6.0,-8.3,3.2
DXCM,"DexCom, Inc.",Healthcare,2,weak,15.0,19.3,1782499968.0,1056637504.0,4.6,17.1,20.9,23.9,5.5,31.3,0.7,-12.0,-28.8
EW,Edwards Lifesciences Corporatio,Healthcare,2,weak,16.7,17.4,1358599936.0,902137472.0,6.1,20.1,42.4,25.3,7.1,46.0,2.9,7.3,6.0
JNJ,Johnson & Johnson,Healthcare,2,weak,9.9,21.8,22869999616.0,12511375360.0,5.5,15.5,42.4,18.5,6.1,27.2,-3.3,-6.4,59.2
BSX,Boston Scientific Corporation,Healthcare,1,down,11.6,17.3,4341000192.0,2807124992.0,4.0,15.1,29.5,15.4,4.6,24.2,-16.9,-29.5,-48.8
DECK,Deckers Outdoor Corporation,Consumer Cyclical,1,down,7.1,19.3,1013121024.0,758731904.0,2.2,8.7,15.6,14.0,2.4,14.7,-13.6,-19.2,-26.5
GPN,Global Payments Inc.,Industrials,1,down,63.1,-8.0,1812647040.0,7124387840.0,2.9,6.6,3.6,4.5,4.3,26.9,-4.6,-1.0,-17.7
LH,Labcorp Holdings Inc.,Healthcare,1,down,5.8,6.7,1813500032.0,1142537472.0,1.8,11.1,21.9,13.4,1.9,23.1,-6.0,-11.2,4.4
PEG,Public Service Enterprise Group,Utilities,1,down,19.4,17.7,3520000000.0,-171750000.0,4.8,12.9,,17.0,4.9,17.6,-6.8,-10.8,2.1
VST,Vistra Corp.,Utilities,1,down,43.4,11.5,4670000128.0,476875008.0,2.9,8.2,116.2,14.2,3.7,26.3,-15.6,-18.4,-9.3
WRB,W.R. Berkley Corporation,Financial Services,1,down,4.0,12.6,3506656000.0,3222230528.0,1.9,11.1,8.9,14.0,1.7,14.3,0.3,-4.5,-3.9
AMAT,"Applied Materials, Inc.",Technology,1,up,11.4,29.3,7992999936.0,3154374912.0,8.1,25.3,74.5,27.0,11.6,41.0,12.0,23.2,153.0
C,"Citigroup, Inc.",Financial Services,1,up,15.9,20.4,-30797000704.0,,0.0,,,10.1,0.0,15.5,-4.1,11.9,67.6
CAT,"Caterpillar, Inc.",Industrials,1,up,22.2,13.3,12320000000.0,3776624896.0,5.3,25.6,98.6,29.8,6.2,44.3,15.2,15.0,156.8
CFG,"Citizens Financial Group, Inc.",Financial Services,1,up,13.8,25.0,2660999936.0,,2.8,,,9.9,3.5,15.0,-4.8,-5.8,51.1
DOC,"Healthpeak Properties, Inc.",Real Estate,1,up,7.1,7.7,1233410944.0,1109761536.0,8.2,15.3,21.3,146.4,8.5,61.8,13.4,17.3,22.4
EMN,Eastman Chemical Company,Basic Materials,1,up,-4.9,4.6,1000000000.0,434000000.0,1.4,8.9,27.9,10.6,1.5,21.4,-2.4,-9.5,-7.1
ESS,"Essex Property Trust, Inc.",Real Estate,1,up,6.4,29.1,1080088960.0,983003264.0,12.3,18.9,24.6,46.6,12.5,31.0,7.7,7.5,-0.3
ETN,"Eaton Corporation, PLC",Industrials,1,up,16.8,14.0,4741000192.0,2646500096.0,4.8,21.5,51.5,24.9,5.9,38.2,2.0,3.2,22.8
F,Ford Motor Company,Consumer Cyclical,1,up,6.4,-3.2,18919000064.0,-2247500032.0,1.1,27.1,,8.1,1.0,,9.1,-3.9,32.0
FITB,Fifth Third Bancorp,Financial Services,1,up,33.0,24.1,2175000064.0,,4.4,,,10.2,6.8,16.7,-4.4,-9.6,24.6
GEV,GE Vernova Inc.,Industrials,1,up,16.3,23.8,9013999616.0,9315624960.0,5.3,61.3,22.5,43.3,7.0,30.7,7.2,30.9,142.9
GLW,Corning Incorporated,Technology,1,up,20.0,11.1,2905999872.0,612000000.0,7.7,32.1,205.0,46.0,10.7,94.0,15.5,44.0,314.2
INTC,Intel Corporation,Technology,1,up,7.2,-5.9,9980000256.0,-8301250048.0,9.5,36.2,,78.1,11.6,,58.8,132.5,405.4
INVH,Invitation Homes Inc.,Real Estate,1,up,9.2,21.0,1198760960.0,1021075392.0,9.0,16.7,24.4,43.9,9.4,30.7,6.3,4.7,-13.0
KEY,KeyCorp,Financial Services,1,up,11.8,27.0,2286000128.0,,4.8,,,10.1,5.7,13.3,-2.9,-2.1,32.6
LNT,Alliant Energy Corporation,Utilities,1,up,5.0,18.6,1288000000.0,-1202625024.0,6.5,15.4,,20.1,6.9,23.3,-1.8,0.3,20.9
MCHP,Microchip Technology Incorporat,Technology,1,up,35.1,4.9,,,7.7,29.2,,23.1,11.6,429.7,22.1,20.2,59.4
MGM,MGM Resorts International,Consumer Cyclical,1,up,4.2,1.0,2550087936.0,528360256.0,2.2,17.2,74.1,17.4,2.2,53.0,-3.9,8.3,5.8
MPWR,"Monolithic Power Systems, Inc.",Technology,1,up,26.1,23.0,832067968.0,491719136.0,16.7,57.5,100.3,52.4,25.5,113.8,10.5,32.6,112.7
NTRS,Northern Trust Corporation,Financial Services,1,up,13.9,22.4,2463699968.0,,4.1,,,14.3,4.5,17.6,4.5,12.6,57.9
NUE,Nucor Corporation,Basic Materials,1,up,21.3,6.8,3756000000.0,-384100000.0,1.5,10.2,,14.7,1.7,23.0,18.3,24.3,96.8
ON,ON Semiconductor Corporation,Technology,1,up,4.7,9.5,1396600064.0,1282174976.0,6.1,18.1,28.9,27.4,7.2,85.8,41.5,56.6,150.2
PNC,"PNC Financial Services Group, I",Financial Services,1,up,13.8,31.3,6821000192.0,,5.5,,,10.5,6.4,12.8,-3.3,-6.5,23.7
QCOM,QUALCOMM Incorporated,Technology,1,up,-3.5,22.3,14284999680.0,9589624832.0,5.4,18.6,25.2,22.4,5.2,25.7,49.8,44.1,34.8
ROK,"Rockwell Automation, Inc.",Industrials,1,up,11.9,12.4,1535000064.0,974499968.0,5.6,24.9,50.4,31.2,6.0,47.0,11.4,14.2,48.1
STT,State Street Corporation,Financial Services,1,up,-2.8,21.3,-2640999936.0,,,,,11.2,,15.7,7.7,20.2,60.8
TFC,Truist Financial Corporation,Financial Services,1,up,5.2,29.6,5672000000.0,,4.1,,,9.4,4.8,12.0,-4.0,-8.6,19.1
WST,"West Pharmaceutical Services, I",Healthcare,1,up,21.0,16.8,715299968.0,275662496.0,6.3,23.2,73.1,33.2,6.9,42.3,12.3,21.0,47.0
ACGL,Arch Capital Group Ltd.,Financial Services,1,weak,-3.3,24.6,5902000128.0,5276125184.0,2.0,6.7,7.5,9.7,1.7,7.4,-3.2,-4.5,3.4
AEE,Ameren Corporation,Utilities,1,weak,3.7,17.8,3343000064.0,-1869374976.0,5.3,11.8,,19.0,6.1,20.0,-5.3,-3.5,15.2
AMGN,Amgen Inc.,Healthcare,1,weak,5.8,21.0,10755999744.0,7436624896.0,5.9,12.9,29.4,14.4,6.1,23.6,-5.9,-10.9,29.3
CMS,CMS Energy Corporation,Utilities,1,weak,11.6,12.5,1940000000.0,-2156000000.0,4.6,13.2,,17.9,4.8,20.6,-7.6,-5.2,7.3
CNP,"CenterPoint Energy, Inc (Holdin",Utilities,1,weak,1.9,11.4,2358000128.0,-4945375232.0,4.9,12.6,,20.5,5.4,26.2,-3.9,-1.8,16.2
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,1,weak,5.9,8.7,1735000064.0,678150016.0,2.2,14.1,41.9,17.8,2.4,21.3,-0.4,-6.7,-2.7
DTE,DTE Energy Company,Utilities,1,weak,15.8,7.7,3295000064.0,-2188124928.0,3.4,15.9,,17.4,3.4,23.9,-4.9,-2.8,8.9
DUK,Duke Energy Corporation (Holdin,Utilities,1,weak,11.3,15.7,11665000448.0,-2246500096.0,5.4,10.7,,17.5,5.8,19.3,-5.2,-4.8,12.3
FE,FirstEnergy Corp.,Utilities,1,weak,11.6,6.9,3211000064.0,-1835124992.0,3.4,10.0,,15.7,3.6,25.1,-12.5,-11.6,10.8
HSIC,"Henry Schein, Inc.",Healthcare,1,weak,6.3,3.0,578000000.0,290124992.0,0.9,12.1,43.8,12.5,1.0,22.4,-5.8,-7.0,3.8
L,Loews Corporation,Financial Services,1,weak,1.4,8.8,2615000064.0,2084000000.0,,,,,1.4,14.0,-3.7,-2.7,21.4
MTB,M&T Bank Corporation,Financial Services,1,weak,5.7,31.5,3380000000.0,,3.5,,,10.2,3.9,12.0,-5.6,-9.8,13.8
PNW,Pinnacle West Capital Corporati,Utilities,1,weak,11.4,12.0,1638496000.0,-831102848.0,4.6,11.9,,18.1,5.0,19.1,-4.7,-0.1,15.9
REG,Regency Centers Corporation,Real Estate,1,weak,10.0,33.1,819390016.0,574623104.0,11.8,18.5,33.8,31.0,12.1,27.0,-4.5,0.8,9.7
RF,Regions Financial Corporation,Financial Services,1,weak,7.3,31.0,1982000000.0,,3.4,,,9.8,3.9,11.6,-4.5,-9.5,23.8
TXT,Textron Inc.,Industrials,1,weak,11.8,6.2,1319000064.0,622374976.0,1.1,10.2,27.7,12.6,1.2,17.5,-1.7,-9.5,18.1
UPS,"United Parcel Service, Inc.",Industrials,1,weak,-1.6,5.9,8355999744.0,4625500160.0,1.1,8.5,21.7,12.5,1.2,16.2,-5.8,-15.9,6.1
VZ,Verizon Communications Inc.,Communication Services,1,weak,2.9,12.5,37339000832.0,19608500224.0,2.7,7.4,19.4,9.2,2.8,11.8,-0.9,-4.0,16.9
WEC,"WEC Energy Group, Inc.",Utilities,1,weak,9.0,16.2,3435200000.0,-2067012480.0,5.5,14.0,,18.8,5.9,22.7,-5.4,-4.9,10.4
